"timestamp","charge_point_id","scenario","mode","step","message_type","transaction_id","connector_id","id_tag","power_kw","current_a","voltage_v","soc_percent","label","binary_label"
"2025-12-11T17:53:43.849836","CP_002","dalgali_yuk","normal",38,"MeterValues",1.0,1.0,"",6.975,17.437,400.0,20.04,"normal","normal"
"2025-12-11T17:53:44.865616","CP_001","dalgali_yuk","normal",39,"MeterValues",1.0,1.0,"",7.052,17.631,400.0,20.04,"normal","normal"
"2025-12-11T17:53:44.881026","CP_002","dalgali_yuk","normal",40,"MeterValues",1.0,1.0,"",7.217,18.043,400.0,20.04,"normal","normal"
"2025-12-11T17:53:45.898387","CP_001","dalgali_yuk","normal",41,"MeterValues",1.0,1.0,"",6.705,16.762,400.0,20.05,"normal","normal"
"2025-12-11T17:53:45.912197","CP_002","dalgali_yuk","normal",42,"MeterValues",1.0,1.0,"",7.018,17.546,400.0,20.05,"normal","normal"
"2025-12-11T17:53:46.929598","CP_001","dalgali_yuk","normal",43,"MeterValues",1.0,1.0,"",6.703,16.758,400.0,20.05,"normal","normal"
"2025-12-11T17:53:46.943268","CP_002","dalgali_yuk","normal",44,"MeterValues",1.0,1.0,"",7.235,18.087,400.0,20.05,"normal","normal"
"2025-12-11T17:53:47.974894","CP_001","dalgali_yuk","normal",45,"MeterValues",1.0,1.0,"",6.908,17.269,400.0,20.05,"normal","normal"
"2025-12-11T17:53:47.988653","CP_002","dalgali_yuk","normal",46,"MeterValues",1.0,1.0,"",6.952,17.379,400.0,20.05,"normal","normal"
"2025-12-11T17:53:49.006859","CP_001","dalgali_yuk","normal",47,"MeterValues",1.0,1.0,"",6.95,17.376,400.0,20.05,"normal","normal"
"2025-12-11T17:53:49.019684","CP_002","dalgali_yuk","normal",48,"MeterValues",1.0,1.0,"",6.918,17.296,400.0,20.06,"normal","normal"
"2025-12-11T17:53:50.033630","CP_001","dalgali_yuk","normal",49,"MeterValues",1.0,1.0,"",7.28,18.201,400.0,20.06,"normal","normal"
"2025-12-11T17:53:50.036678","CP_002","dalgali_yuk","normal",50,"MeterValues",1.0,1.0,"",6.902,17.256,400.0,20.06,"normal","normal"
"2025-12-11T17:53:51.057527","CP_001","dalgali_yuk","normal",51,"MeterValues",1.0,1.0,"",6.725,16.813,400.0,20.06,"normal","normal"
"2025-12-11T17:53:51.070741","CP_002","dalgali_yuk","normal",52,"MeterValues",1.0,1.0,"",7.214,18.034,400.0,20.06,"normal","normal"
"2025-12-11T17:53:52.003937","CP_001","dalgali_yuk","normal",53,"Heartbeat","","","","","","","","normal","normal"
"2025-12-11T17:53:52.005121","CP_002","dalgali_yuk","normal",54,"Heartbeat","","","","","","","","normal","normal"
"2025-12-11T17:53:52.089026","CP_001","dalgali_yuk","normal",55,"MeterValues",1.0,1.0,"",7.229,18.073,400.0,20.06,"normal","normal"
"2025-12-11T17:53:52.103743","CP_002","dalgali_yuk","normal",56,"MeterValues",1.0,1.0,"",6.75,16.875,400.0,20.06,"normal","normal"
"2025-12-11T17:53:53+00:00","CP_001","dalgali_yuk","normal",57,"StatusNotification","",1.0,"","","","","","normal","normal"
"2025-12-11T17:53:53+00:00","CP_001","dalgali_yuk","normal",58,"StopTransaction",1.0,"","","","","","","normal","normal"
"2025-12-11T17:53:53+00:00","CP_001","dalgali_yuk","normal",59,"StatusNotification","",1.0,"","","","","","normal","normal"
"2025-12-11T17:53:53+00:00","CP_002","dalgali_yuk","normal",60,"StatusNotification","",1.0,"","","","","","normal","normal"
"2025-12-11T17:53:53+00:00","CP_002","dalgali_yuk","normal",61,"StopTransaction",1.0,"","","","","","","normal","normal"
"2025-12-11T17:53:53+00:00","CP_002","dalgali_yuk","normal",62,"StatusNotification","",1.0,"","","","","","normal","normal"
